client_1,client_2,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total_mv
1157,4,0,0,0,0,0,0,0,8,26,27,45,8,3,0,117
2106,2294,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6
419,1301,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
146,120,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
190,2190,0,0,0,0,0,0,0,0,0,8,0,0,0,5,13
2294,1117,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
169,326,0,0,0,0,0,0,0,1,1,1,3,2,0,0,8
326,368,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1073,384,0,0,0,0,0,0,0,1,9,11,0,0,0,0,21
402,313,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
2106,1042,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
104,96,0,0,0,0,0,0,0,6,10,7,8,10,18,15,74
178,299,0,0,0,0,0,0,0,1,5,0,0,0,0,0,6
336,2339,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
1184,1100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2110,3499,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1219,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1395,1128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1326,368,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1157,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
318,1219,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
4,2049,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3
1010,370,0,0,0,0,0,0,0,2,2,4,0,0,0,0,8
1072,140,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3
2108,1372,0,0,0,0,0,0,0,0,0,0,7,15,53,46,121
399,427,0,0,0,0,0,0,0,3,5,16,11,14,2,3,54
1279,1395,0,0,0,0,0,0,0,1,1,1,1,4,4,0,12
114,368,0,0,0,0,0,0,0,0,6,3,4,3,3,2,21
13,1266,0,0,0,0,0,0,0,0,2,3,9,10,18,18,60
331,487,0,0,0,0,0,0,0,4,9,9,21,8,2,0,53
368,104,0,0,0,0,0,0,0,2,1,0,2,2,1,0,8
63,3971,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
382,399,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
96,324,0,0,0,0,0,0,0,1,2,12,13,2,0,0,30
169,312,0,0,0,0,0,0,0,0,14,21,36,42,34,30,177
1110,360,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,2119,0,0,0,0,0,0,0,1,1,5,14,7,1,7,36
2108,2217,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
174,1073,0,0,0,0,0,0,0,2,1,2,3,5,5,4,22
63,51,0,0,0,0,0,0,0,16,43,68,50,48,41,22,288
363,111,0,0,0,0,0,0,0,1,5,14,14,21,15,11,81
210,1423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2119,2181,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15
1185,2179,0,0,0,0,0,0,0,0,0,0,0,1,8,0,9
2110,1302,0,0,0,0,0,0,0,0,0,0,5,1,24,6,36
120,96,0,0,0,0,0,0,0,10,26,53,58,37,33,23,240
1345,396,0,0,0,0,0,0,0,0,1,1,0,4,4,1,11
383,326,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
396,402,0,0,0,0,0,0,0,21,34,48,43,63,31,42,282
90,1219,0,0,0,0,0,0,0,0,1,0,1,2,3,4,11
134,82,0,0,0,0,0,0,0,1,2,1,1,3,2,0,10
336,77,0,0,0,0,0,0,0,1,1,1,0,6,5,5,19
178,1333,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
306,111,0,0,0,0,0,0,0,0,1,1,2,1,1,1,7
26,2294,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5
381,1129,0,0,0,0,0,0,0,2,3,1,1,0,0,4,11
1154,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1033,145,0,0,0,0,0,0,0,0,0,0,1,0,2,2,5
2455,2455,0,0,0,0,0,0,0,0,451,2800,5419,10510,11205,5177,35562
1154,114,0,0,0,0,0,0,0,2,3,4,1,1,1,0,12
2106,1395,0,0,0,0,0,0,0,0,0,0,4,2,0,0,6
90,1302,0,0,0,0,0,0,0,0,0,0,2,0,5,1,8
1345,1219,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
2114,169,0,0,0,0,0,0,0,2,2,1,0,0,0,0,5
2106,1372,0,0,0,0,0,0,0,0,0,0,0,2,6,4,12
2294,383,0,0,0,0,0,0,0,0,0,0,2,1,4,3,10
1110,1100,0,0,0,0,0,0,0,0,1,2,2,2,1,1,9
174,200,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
350,406,0,0,0,0,0,0,0,0,1,12,0,5,0,2,20
3170,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1184,2058,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
118,4018,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
181,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1051,134,0,0,0,0,0,0,0,1,10,3,12,7,10,6,49
363,13,0,0,0,0,0,0,0,6,11,19,25,12,16,19,108
1227,63,0,0,0,0,0,0,0,9,16,15,19,22,15,22,118
1051,368,0,0,0,0,0,0,0,0,0,1,2,1,1,1,6
36,104,0,0,0,0,0,0,0,1,3,6,17,9,8,4,48
